token_id,speaker_id,sentence_id,file_path,word,repetition,phoneme,onset,offset,duration,l1_status,gender,f1,f2,f3,f0,f1_25,f1_75,f2_25,f2_75
AB_j'en chie_r1_p0,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,d,1.1,1.28,179.99999999999994,ru,f,204.63566361166394,760.0142961082546,,203.4122057970395,233.961811765363,200.28208375500566,674.4123713455871,905.5819818558718
AB_j'en chie_r1_p1,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,i,1.28,1.57,290.00000000000006,ru,f,291.3689675119005,651.1471434065293,2661.6472666596583,267.2089494853997,352.2998374544277,311.37291341564674,450.97452520627877,701.3832474718419
AB_j'en chie_r1_p2,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ʒ,1.62,1.80063,180.62999999999985,ru,f,359.7839145669995,2265.3799983785734,,228.64733753016955,460.9023966559795,327.6568613116023,2290.064955617398,2641.683140494597
AB_j'en chie_r1_p3,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ɑ̃,1.80063,2.07,269.3699999999999,ru,f,450.0853473884919,976.8225591336839,,233.7574560343323,555.2635458386227,436.77273130579954,1101.7176994012927,976.1549325398873
AB_j'en chie_r1_p4,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ʃ,2.07,2.31,240.00000000000023,ru,f,651.8015593143103,2207.802795064518,,,921.097040238551,920.686811380498,2136.9223501878296,2422.7922424660087
AB_j'en chie_r1_p5,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,i,2.31,2.5,189.99999999999994,ru,f,267.52489405493907,1368.718393934906,2569.069132772097,260.1778504114523,359.52440243666007,794.8313629175356,2649.95860037293,2062.2968064867105
AB_j'en chie_r1_p6,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,t,2.55,2.6,50.00000000000027,ru,f,1400.3752527412669,2324.436519512391,,,,,,
AB_j'en chie_r1_p7,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,ʁ,2.6,2.7,100.00000000000009,ru,f,959.6217455050713,1412.4455392537209,,,873.6525201842431,879.1362364473974,1345.7334078723336,1617.2212101522707
AB_j'en chie_r1_p8,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,w,2.7,2.8,99.99999999999964,ru,f,458.5747869029858,908.2386574053901,,228.74858494969388,478.204524899877,593.596444576211,926.4483701837628,1011.4738656781981
AB_j'en chie_r1_p9,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,a,2.8,2.97,170.00000000000037,ru,f,894.2123851545548,1386.661541985525,2873.0094428325806,243.5873192932037,790.2858315670794,627.9990171163461,1345.6081698761366,1217.2193633752208
AB_j'en chie_r1_p10,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,f,2.97,3.15,179.99999999999972,ru,f,982.1091018222397,1404.1698927783548,,,978.2615340151858,944.1607922733571,1467.9785499551408,1326.814986615654
AB_j'en chie_r1_p11,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,w,3.15,3.23366,83.66000000000007,ru,f,641.3075436818872,1057.7965846717623,,216.88246131602244,,,,
AB_j'en chie_r1_p12,AB,j'en chie,data\raw\corpus\AB\ab_rus_list1_FRcorp1.wav,j'en chie,1,a,3.23366,3.39,156.34000000000015,ru,f,568.5780670913266,1107.4487776901092,2191.756145218678,207.28046222426664,839.2378306042627,268.35705084592246,1403.053016172094,1282.5033749796362
AB_juxtaposer_r1_p0,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,d,0.67,0.82,149.99999999999991,ru,f,212.62449322500308,722.6840999852113,,198.4922925095405,220.7256292159412,205.94343607958885,682.2169662853805,1484.7596410071253
AB_juxtaposer_r1_p1,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,i,0.82,1.14,319.99999999999994,ru,f,430.55599144821434,2613.055530677951,3510.1836663650497,219.6756789107568,390.93109028598576,364.6543718373711,2546.2593025541414,2539.0905731420366
AB_juxtaposer_r1_p2,AB,juxtaposer,data\raw\corpus\AB\ab_rus_list1_FRcorp10.wav,juxtaposer,1,j,1.36695,1.52,153.0499999999999,ru,f,355.02591298001107,2631.555290967663,,196.1410924513426,425.1126290282119,297.16399307654933,2536.863848720625,2421.610233276664
